chr	start	end	name	TargetGene	TargetGeneTSS	CellType	ABC.Score
chr14	20412292	20412792	genic|chr14:20412292-20412792	TEP1	20413501	cd4_activated_scale	0.028683
chr14	20440085	20441899	intergenic|chr14:20440085-20441899	KLHL33	20436166	cd4_activated_scale	0.025533
chr14	20469802	20470955	genic|chr14:20469802-20470955	PNP	20468954	cd4_activated_scale	0.052858
chr14	20469802	20470955	genic|chr14:20469802-20470955	AL355075.3	20477089	cd4_activated_scale	0.050576
chr14	20491212	20492278	intergenic|chr14:20491212-20492278	RNASE10	20505537	cd4_activated_scale	0.020947
chr14	20613143	20614474	intergenic|chr14:20613143-20614474	RNASE10	20505537	cd4_activated_scale	0.022806
chr14	21087095	21088091	genic|chr14:21087095-21088091	AL161668.3	21014822	cd4_activated_scale	0.021310
chr14	21087095	21088091	genic|chr14:21087095-21088091	ARHGEF40	21070273	cd4_activated_scale	0.031793
chr14	21087095	21088091	genic|chr14:21087095-21088091	NDRG2	21070872	cd4_activated_scale	0.031790
chr14	21087095	21088091	genic|chr14:21087095-21088091	TMEM253	21098937	cd4_activated_scale	0.025628
chr14	21156344	21157242	genic|chr14:21156344-21157242	OR5AU1	21159060	cd4_activated_scale	0.022727
chr14	21191154	21192982	intergenic|chr14:21191154-21192982	OR5AU1	21159060	cd4_activated_scale	0.020232
chr14	21263271	21264850	genic|chr14:21263271-21264850	HNRNPC	21269494	cd4_activated_scale	0.021068
chr14	21265071	21266445	genic|chr14:21265071-21266445	HNRNPC	21269494	cd4_activated_scale	0.020703
chr14	21307989	21309637	genic|chr14:21307989-21309637	OR5AU1	21159060	cd4_activated_scale	0.024369
chr14	21436398	21438406	genic|chr14:21436398-21438406	CHD8	21456126	cd4_activated_scale	0.032637
chr14	21525535	21527261	genic|chr14:21525535-21527261	AL161747.2	21521083	cd4_activated_scale	0.029039
chr14	22483832	22484766	intergenic|chr14:22483832-22484766	TRAJ53	22483004	cd4_activated_scale	0.023194
chr14	22534552	22535052	intergenic|chr14:22534552-22535052	TRAJ10	22533497	cd4_activated_scale	0.022418
chr14	22546178	22546951	intergenic|chr14:22546178-22546951	TRAJ3	22543179	cd4_activated_scale	0.022045
chr14	22546178	22546951	intergenic|chr14:22546178-22546951	TRAC	22547506	cd4_activated_scale	0.046392
chr14	22548285	22548785	genic|chr14:22548285-22548785	TRAC	22547506	cd4_activated_scale	0.023404
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAV39	22304054	cd4_activated_scale	0.026876
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAV40	22314490	cd4_activated_scale	0.028694
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRAV41	22320188	cd4_activated_scale	0.032907
chr14	22549201	22550695	genic|chr14:22549201-22550695	TRDV3	22469698	cd4_activated_scale	0.063058
