chr	start	end	name	TargetGene	TargetGeneTSS	CellType	ABC.Score
chr20	353461	355458	genic|chr20:353461-355458	NRSN2-AS1	348490	cd4_normal_scale	0.026079
chr20	364997	366465	genic|chr20:364997-366465	TRIB3	362835	cd4_normal_scale	0.030306
chr20	843859	846570	genic|chr20:843859-846570	FAM110A	833715	cd4_normal_scale	0.041423
chr20	1119013	1119834	genic|chr20:1119013-1119834	AL110114.1	1118467	cd4_normal_scale	0.041101
chr20	1264693	1265618	genic|chr20:1264693-1265618	SNPH	1266280	cd4_normal_scale	0.032335
chr20	1330077	1330577	genic|chr20:1330077-1330577	SDCBP2	1329139	cd4_normal_scale	0.028140
chr20	1362438	1365182	genic|chr20:1362438-1365182	AL136531.1	1361622	cd4_normal_scale	0.068653
chr20	1387963	1389582	genic|chr20:1387963-1389582	FKBP1A	1393172	cd4_normal_scale	0.025201
chr20	1466189	1467119	genic|chr20:1466189-1467119	NSFL1C	1473842	cd4_normal_scale	0.035870
chr20	1467163	1468177	genic|chr20:1467163-1468177	NSFL1C	1473842	cd4_normal_scale	0.020531
chr20	1555714	1556808	genic|chr20:1555714-1556808	SIRPD	1557705	cd4_normal_scale	0.024908
chr20	1622147	1622875	intergenic|chr20:1622147-1622875	SIRPB1	1620061	cd4_normal_scale	0.043854
chr20	1631864	1632676	genic|chr20:1631864-1632676	SIRPG-AS1	1633508	cd4_normal_scale	0.064358
chr20	1654716	1655676	genic|chr20:1654716-1655676	SIRPG	1657779	cd4_normal_scale	0.037926
chr20	1660114	1660614	intergenic|chr20:1660114-1660614	SIRPG	1657779	cd4_normal_scale	0.035609
chr20	1661294	1662390	intergenic|chr20:1661294-1662390	SIRPG	1657779	cd4_normal_scale	0.024825
chr20	1664854	1665927	intergenic|chr20:1664854-1665927	SIRPG	1657779	cd4_normal_scale	0.025072
chr20	2507265	2509440	genic|chr20:2507265-2509440	ZNF343	2524702	cd4_normal_scale	0.023510
chr20	2687187	2689050	intergenic|chr20:2687187-2689050	EBF4	2692878	cd4_normal_scale	0.028252
chr20	2740620	2743734	genic|chr20:2740620-2743734	EBF4	2692878	cd4_normal_scale	0.038677
chr20	2865109	2866868	genic|chr20:2865109-2866868	PTPRA	2864184	cd4_normal_scale	0.054185
chr20	2871789	2874007	genic|chr20:2871789-2874007	PTPRA	2864184	cd4_normal_scale	0.043935
chr20	3081818	3083906	genic|chr20:3081818-3083906	AVP	3084724	cd4_normal_scale	0.025084
chr20	3092554	3094463	intergenic|chr20:3092554-3094463	AVP	3084724	cd4_normal_scale	0.039532
chr20	3092554	3094463	intergenic|chr20:3092554-3094463	UBOX5-AS1	3106913	cd4_normal_scale	0.025206
chr20	3101193	3103937	intergenic|chr20:3101193-3103937	UBOX5-AS1	3106913	cd4_normal_scale	0.040525
chr20	3156988	3158237	genic|chr20:3156988-3158237	FASTKD5	3159865	cd4_normal_scale	0.057953
chr20	3156988	3158237	genic|chr20:3156988-3158237	UBOX5	3160196	cd4_normal_scale	0.038358
chr20	3209805	3210806	genic|chr20:3209805-3210806	ITPA	3208868	cd4_normal_scale	0.021256
chr20	3408568	3409598	intergenic|chr20:3408568-3409598	C20orf194	3407625	cd4_normal_scale	0.032509
chr20	3709665	3711718	intergenic|chr20:3709665-3711718	SIGLEC1	3707128	cd4_normal_scale	0.029221
chr20	3795498	3798477	genic|chr20:3795498-3798477	SIGLEC1	3707128	cd4_normal_scale	0.024888
chr20	3795498	3798477	genic|chr20:3795498-3798477	C20orf27	3768387	cd4_normal_scale	0.022374
chr20	3795498	3798477	genic|chr20:3795498-3798477	CENPB	3786740	cd4_normal_scale	0.062916
chr20	3795498	3798477	genic|chr20:3795498-3798477	CDC25B	3786772	cd4_normal_scale	0.062916
chr20	3795498	3798477	genic|chr20:3795498-3798477	LINC01730	3808357	cd4_normal_scale	0.074431
chr20	3795498	3798477	genic|chr20:3795498-3798477	AP5S1	3820524	cd4_normal_scale	0.065995
chr20	3795498	3798477	genic|chr20:3795498-3798477	MAVS	3846799	cd4_normal_scale	0.039183
chr20	3795498	3798477	genic|chr20:3795498-3798477	AL031670.1	3923400	cd4_normal_scale	0.023031
chr20	3795498	3798477	genic|chr20:3795498-3798477	SMOX	4120980	cd4_normal_scale	0.021177
chr20	3810586	3812115	genic|chr20:3810586-3812115	C20orf27	3768387	cd4_normal_scale	0.022840
chr20	3810586	3812115	genic|chr20:3810586-3812115	CENPB	3786740	cd4_normal_scale	0.035078
chr20	3810586	3812115	genic|chr20:3810586-3812115	CDC25B	3786772	cd4_normal_scale	0.035078
chr20	3810586	3812115	genic|chr20:3810586-3812115	LINC01730	3808357	cd4_normal_scale	0.131833
chr20	3810586	3812115	genic|chr20:3810586-3812115	AP5S1	3820524	cd4_normal_scale	0.051984
chr20	3810586	3812115	genic|chr20:3810586-3812115	MAVS	3846799	cd4_normal_scale	0.020807
chr20	3815662	3816592	intergenic|chr20:3815662-3816592	AP5S1	3820524	cd4_normal_scale	0.021308
chr20	3847450	3848239	genic|chr20:3847450-3848239	MAVS	3846799	cd4_normal_scale	0.027521
chr20	3905920	3908303	genic|chr20:3905920-3908303	AL031670.1	3923400	cd4_normal_scale	0.027213
chr20	3923950	3926292	genic|chr20:3923950-3926292	AL031670.1	3923400	cd4_normal_scale	0.036265
chr20	3988953	3990127	genic|chr20:3988953-3990127	RNF24	4015558	cd4_normal_scale	0.021584
chr20	4683613	4684340	intergenic|chr20:4683613-4684340	PRNP	4686350	cd4_normal_scale	0.025013
chr20	4811533	4815585	genic|chr20:4811533-4815585	RBCK1	407498	cd4_normal_scale	0.022591
chr20	4811533	4815585	genic|chr20:4811533-4815585	AL109809.5	1817765	cd4_normal_scale	0.020365
chr20	4811533	4815585	genic|chr20:4811533-4815585	SIRPA	1894167	cd4_normal_scale	0.021220
chr20	4811533	4815585	genic|chr20:4811533-4815585	AL121899.1	2207217	cd4_normal_scale	0.021756
chr20	4811533	4815585	genic|chr20:4811533-4815585	ZNF343	2524702	cd4_normal_scale	0.020218
chr20	4811533	4815585	genic|chr20:4811533-4815585	EBF4	2692878	cd4_normal_scale	0.033065
chr20	4811533	4815585	genic|chr20:4811533-4815585	CPXM1	2800627	cd4_normal_scale	0.025876
chr20	4811533	4815585	genic|chr20:4811533-4815585	PTPRA	2864184	cd4_normal_scale	0.024897
chr20	4811533	4815585	genic|chr20:4811533-4815585	MRPS26	3046052	cd4_normal_scale	0.025350
chr20	4811533	4815585	genic|chr20:4811533-4815585	OXT	3071620	cd4_normal_scale	0.024757
chr20	4811533	4815585	genic|chr20:4811533-4815585	AVP	3084724	cd4_normal_scale	0.027106
chr20	4811533	4815585	genic|chr20:4811533-4815585	UBOX5-AS1	3106913	cd4_normal_scale	0.028641
chr20	4811533	4815585	genic|chr20:4811533-4815585	FASTKD5	3159865	cd4_normal_scale	0.020537
chr20	4811533	4815585	genic|chr20:4811533-4815585	UBOX5	3160196	cd4_normal_scale	0.021772
chr20	4811533	4815585	genic|chr20:4811533-4815585	LZTS3	3173592	cd4_normal_scale	0.029391
chr20	4811533	4815585	genic|chr20:4811533-4815585	ITPA	3208868	cd4_normal_scale	0.023877
chr20	4811533	4815585	genic|chr20:4811533-4815585	SLC4A11	3239559	cd4_normal_scale	0.030007
chr20	4811533	4815585	genic|chr20:4811533-4815585	C20orf194	3407625	cd4_normal_scale	0.024945
chr20	4811533	4815585	genic|chr20:4811533-4815585	ATRN	3471018	cd4_normal_scale	0.032114
chr20	4811533	4815585	genic|chr20:4811533-4815585	SIGLEC1	3707128	cd4_normal_scale	0.043225
chr20	4811533	4815585	genic|chr20:4811533-4815585	C20orf27	3768387	cd4_normal_scale	0.022935
chr20	4811533	4815585	genic|chr20:4811533-4815585	CENPB	3786740	cd4_normal_scale	0.024888
chr20	4811533	4815585	genic|chr20:4811533-4815585	CDC25B	3786772	cd4_normal_scale	0.024889
chr20	4811533	4815585	genic|chr20:4811533-4815585	LINC01730	3808357	cd4_normal_scale	0.030546
chr20	4811533	4815585	genic|chr20:4811533-4815585	AP5S1	3820524	cd4_normal_scale	0.023430
chr20	4811533	4815585	genic|chr20:4811533-4815585	MAVS	3846799	cd4_normal_scale	0.031238
chr20	4811533	4815585	genic|chr20:4811533-4815585	PANK2	3888839	cd4_normal_scale	0.027914
chr20	4811533	4815585	genic|chr20:4811533-4815585	AL353194.1	3888868	cd4_normal_scale	0.027914
chr20	4811533	4815585	genic|chr20:4811533-4815585	AL031670.1	3923400	cd4_normal_scale	0.043586
chr20	4811533	4815585	genic|chr20:4811533-4815585	RNF24	4015558	cd4_normal_scale	0.034073
chr20	4811533	4815585	genic|chr20:4811533-4815585	SMOX	4120980	cd4_normal_scale	0.049587
chr20	4811533	4815585	genic|chr20:4811533-4815585	PRNP	4686350	cd4_normal_scale	0.049574
chr20	4811533	4815585	genic|chr20:4811533-4815585	RASSF2	4823608	cd4_normal_scale	0.209431
chr20	4811533	4815585	genic|chr20:4811533-4815585	SLC23A2	5010293	cd4_normal_scale	0.060329
chr20	4811533	4815585	genic|chr20:4811533-4815585	AL121890.3	5046276	cd4_normal_scale	0.053235
chr20	4811533	4815585	genic|chr20:4811533-4815585	AL121890.5	5061340	cd4_normal_scale	0.053707
chr20	4811533	4815585	genic|chr20:4811533-4815585	TMEM230	5113103	cd4_normal_scale	0.033688
chr20	4811533	4815585	genic|chr20:4811533-4815585	PCNA	5126626	cd4_normal_scale	0.031280
chr20	4811533	4815585	genic|chr20:4811533-4815585	CDS2	5126879	cd4_normal_scale	0.031280
chr20	4811533	4815585	genic|chr20:4811533-4815585	GPCPD1	5611006	cd4_normal_scale	0.027328
chr20	4811533	4815585	genic|chr20:4811533-4815585	SHLD1	5750393	cd4_normal_scale	0.046687
chr20	4811533	4815585	genic|chr20:4811533-4815585	CHGB	5911510	cd4_normal_scale	0.058276
chr20	4811533	4815585	genic|chr20:4811533-4815585	TRMT6	5950558	cd4_normal_scale	0.049146
chr20	4811533	4815585	genic|chr20:4811533-4815585	MCM8	5950652	cd4_normal_scale	0.049144
chr20	4811533	4815585	genic|chr20:4811533-4815585	AL035461.2	6000418	cd4_normal_scale	0.050794
chr20	4811533	4815585	genic|chr20:4811533-4815585	CRLS1	6006093	cd4_normal_scale	0.049043
chr20	4811533	4815585	genic|chr20:4811533-4815585	FERMT1	6123544	cd4_normal_scale	0.058723
chr20	4811533	4815585	genic|chr20:4811533-4815585	BMP2	6767686	cd4_normal_scale	0.056589
chr20	4811533	4815585	genic|chr20:4811533-4815585	AL021396.1	8019180	cd4_normal_scale	0.027876
chr20	4811533	4815585	genic|chr20:4811533-4815585	TMX4	8019805	cd4_normal_scale	0.027874
chr20	4811533	4815585	genic|chr20:4811533-4815585	PLCB1	8077251	cd4_normal_scale	0.050094
chr20	4811533	4815585	genic|chr20:4811533-4815585	PLCB4	9068763	cd4_normal_scale	0.065069
chr20	4811533	4815585	genic|chr20:4811533-4815585	LAMP5	9514358	cd4_normal_scale	0.062406
